Sample (reference),Scheme,Taxa A1,Taxa A2,Taxa A3,Taxa A4,Taxa A5,Taxa B1,Taxa B2,Taxa B3
Arkansas and Lower Mississippi,NA,ND,ND,,ND,ND,ND,ND,0.0056
Arkansas and Lower Mississippi,NA,ND,ND,,ND,ND,ND,ND,0.0095
Arkansas and Lower Mississippi,NA,ND,ND,,0.0021,ND,0.0031,ND,0.5849
Arkansas and Lower Mississippi,NA,ND,0.0008,,0.003,ND,ND,0.0008,0.003
Arkansas and Lower Mississippi,NA,ND,0.0077,,ND,ND,ND,0.0346,0.2308
Arkansas and Lower Mississippi,NA,ND,0.0018,,0.0018,ND,ND,0.014,0.0595
Arkansas and Lower Mississippi,NA,ND,0.0052,,0.0009,ND,0.0061,0.0506,0.5681
Arkansas and Lower Mississippi,NA,ND,0.0032,,0.0011,ND,0.0032,0.0485,0.4335
Arkansas and Lower Mississippi,NA,0.0011,0.1171,,ND,ND,ND,ND,0.7341
Arkansas and Lower Mississippi,NA,0.0011,0.0995,,0.0011,ND,ND,ND,0.569
Arkansas and Lower Mississippi,NA,ND,0.0585,,ND,ND,ND,ND,0.0338
Arkansas and Lower Mississippi,NA,ND,0.0079,,ND,ND,0.0032,ND,0.0333
Arkansas and Lower Mississippi,NA,0.004,ND,,ND,ND,ND,ND,ND
Arkansas and Lower Mississippi,NA,0.0054,ND,,ND,ND,ND,ND,ND
Arkansas and Lower Mississippi,NA,0.0043,ND,,ND,ND,ND,ND,ND
Arkansas and Lower Mississippi,NA,0.0206,ND,,ND,0.0029,ND,ND,ND
Arkansas and Lower Mississippi,NA,0.0202,ND,,ND,ND,ND,ND,ND
Arkansas and Lower Mississippi,NA,ND,ND,,ND,ND,ND,ND,0.2624
Arkansas and Lower Mississippi,NA,ND,0.0029,,ND,ND,0.0029,0.0029,0.2151
Arkansas and Lower Mississippi,NA,ND,ND,,ND,ND,ND,ND,0.6081
Arkansas and Lower Mississippi,NA,ND,ND,,ND,ND,0.2048,ND,0.5127
Ohio River Basin,NA,ND,0.0311,ND,0.0001,0.0458,0.0038,0.0009,0.0769
Ohio River Basin,NA,ND,0.0218,ND,0.0034,0.0256,0.0016,0.0043,0.0469
Ohio River Basin,NA,0.0006,0.0005,ND,ND,ND,0.0582,0.0169,0.4959
Ohio River Basin,NA,ND,0.0015,ND,0.0005,0.0001,0.0002,0.0096,0.0506
Ohio River Basin,NA,ND,0.0011,ND,0.0001,0.0018,0.0001,0.0012,0.1325
Ohio River Basin,NA,ND,0.0009,ND,0.0021,0.0143,0.0018,0.0041,0.0593
Ohio River Basin,NA,ND,0.0002,ND,0.0005,0.0045,0.0616,0.0014,0.2983
Ohio River Basin,NA,ND,0.0002,ND,ND,0.002,0.0001,0.0028,0.0701
Ohio River Basin,NA,ND,0.0015,ND,0.0011,0.0065,0.0001,0.0125,0.0588
"Ann Arbor, MI",NA,ND,0.011,ND,ND,ND,ND,0.002,0.001
"Ann Arbor, MI",NA,0.001,0.003,ND,ND,0.002,ND,ND,ND
"Ann Arbor, MI",NA,ND,0.004,ND,ND,0.004,ND,0.001,ND
"Ann Arbor, MI",NA,ND,0.005,ND,ND,0.001,ND,ND,ND
"Ann Arbor, MI",NA,ND,0.046,ND,ND,0.002,ND,ND,ND
"Ann Arbor, MI",NA,0.001,0.003,ND,ND,0.006,ND,ND,0.001
"Ann Arbor, MI",NA,0.003,ND,ND,ND,0.002,ND,ND,ND
"Ann Arbor, MI",NA,ND,0.005,ND,ND,ND,ND,ND,ND
"Ann Arbor, MI",NA,0.003,0.003,ND,ND,0.003,ND,ND,ND
"Ann Arbor, MI",NA,0.001,0.01,ND,ND,0.006,ND,ND,ND
"Ann Arbor, MI",NA,ND,0.011,ND,0.002,ND,ND,ND,ND
"Ann Arbor, MI",NA,ND,ND,ND,ND,0.003,ND,ND,ND
"Ann Arbor, MI",NA,0.004,0.011,ND,ND,0.009,ND,ND,ND
"Ann Arbor, MI",NA,ND,0.013,ND,ND,0.002,ND,ND,0.001
"Ann Arbor, MI",NA,ND,0.036,ND,ND,ND,0.001,ND,0.003
"Ann Arbor, MI",NA,ND,0.051,ND,ND,0.001,ND,ND,ND
"Ann Arbor, MI",NA,ND,0.006,ND,ND,0.001,ND,ND,ND
"Ann Arbor, MI",NA,0.002,0.001,ND,ND,0.007,ND,0.001,ND
"Ann Arbor, MI",NA,0.004,0.005,ND,ND,ND,ND,ND,0.001
"Ann Arbor, MI",NA,ND,0.004,ND,ND,0.005,ND,ND,ND
"Ann Arbor, MI",NA,0.001,0.016,ND,0.003,ND,ND,0.002,0.006
"Ann Arbor, MI",NA,ND,0.002,ND,ND,0.001,ND,ND,ND
"Ann Arbor, MI",NA,ND,0.02,ND,ND,0.001,ND,0.001,ND
"Ann Arbor, MI",NA,0.001,0.005,ND,ND,0.004,ND,0.001,ND
"Ann Arbor, MI",NA,0.003,0.008,ND,ND,0.001,ND,ND,0.001
"Ann Arbor, MI",NA,ND,0.005,ND,ND,ND,ND,0.002,ND
"Ann Arbor, MI",NA,ND,0.089,ND,0.001,0.004,ND,ND,0.002
"Ann Arbor, MI",NA,ND,0.02,ND,ND,0.004,ND,0.005,0.003
"Ann Arbor, MI",NA,0.003,0.002,ND,0.002,0.003,ND,0.001,0.002
"Ann Arbor, MI",NA,ND,0.002,ND,ND,0.016,ND,ND,0.006
"Ann Arbor, MI",NA,0.002,0.001,ND,ND,ND,ND,0.001,ND
"Ann Arbor, MI",NA,0.002,ND,ND,ND,0.004,ND,ND,0.002
"Ann Arbor, MI",NA,0.002,0.017,ND,0.001,0.002,ND,0.002,ND
"Ann Arbor, MI",NA,ND,0.009,ND,ND,ND,ND,0.002,ND
"Ann Arbor, MI",NA,ND,0.001,ND,ND,0.001,ND,ND,ND
"Ann Arbor, MI",NA,0.003,ND,ND,ND,0.005,ND,ND,ND
"Ann Arbor, MI",NA,0.001,0.006,ND,ND,ND,ND,ND,0.001
"Ann Arbor, MI",NA,ND,0.016,ND,ND,0.001,ND,0.001,ND
"Ann Arbor, MI",NA,ND,0.003,ND,ND,ND,ND,0.001,ND
"Ann Arbor, MI",NA,0.002,0.002,ND,ND,0.002,ND,ND,ND
"Ann Arbor, MI",NA,0.003,0.001,ND,ND,ND,ND,ND,ND
"Ann Arbor, MI",NA,ND,0.036,ND,0.002,0.002,ND,ND,ND
"Ann Arbor, MI",NA,0.001,0.001,ND,ND,ND,ND,ND,0.002
"Ann Arbor, MI",NA,ND,0.02,ND,ND,0.003,ND,ND,0.004
"Ann Arbor, MI",NA,0.003,0.01,ND,ND,0.001,ND,ND,ND
"Ann Arbor, MI",NA,ND,0.006,ND,ND,0.004,ND,ND,ND
"Ann Arbor, MI",NA,ND,0.005,ND,ND,ND,ND,ND,ND
"Ann Arbor, MI",NA,0.002,0.009,ND,ND,0.001,ND,ND,ND
"Ann Arbor, MI",NA,0.001,0.001,ND,ND,0.004,ND,ND,ND
"Ann Arbor, MI",NA,ND,0.008,ND,ND,0.004,ND,ND,ND
"Ann Arbor, MI",NA,0.002,0.021,ND,ND,ND,ND,ND,0.001
"Ann Arbor, MI",NA,ND,0.033,ND,ND,0.003,ND,0.002,ND
"Ann Arbor, MI",NA,0.006,0.008,ND,ND,0.002,ND,ND,ND
"Ann Arbor, MI",NA,0.004,ND,ND,ND,0.002,ND,ND,ND
"Ann Arbor, MI",NA,ND,0.007,ND,ND,ND,ND,ND,ND
"Ann Arbor, MI",NA,0.001,ND,ND,ND,0.002,ND,ND,ND
"Ann Arbor, MI",NA,0.001,0.03,ND,0.001,0.002,ND,ND,0.001
"Ann Arbor, MI",NA,ND,0.002,ND,ND,ND,ND,ND,ND
"Ann Arbor, MI",NA,0.002,0.013,ND,0.001,0.002,ND,ND,ND
"Ann Arbor, MI",NA,0.002,0.005,ND,0.001,0.001,ND,0.001,0.001
"Ann Arbor, MI",NA,0.002,ND,ND,ND,0.003,ND,0.001,0.002
"Ann Arbor, MI",NA,ND,0.005,ND,ND,ND,ND,ND,0.002
"Ann Arbor, MI",NA,ND,ND,ND,ND,ND,ND,ND,0.005
"Ann Arbor, MI",NA,ND,0.002,ND,ND,0.002,ND,0.001,0.002
"Ann Arbor, MI",NA,ND,0.004,ND,ND,0.001,0.001,ND,0.004
"Ann Arbor, MI",NA,ND,0.021,ND,ND,0.001,ND,0.001,0.002
"Ann Arbor, MI",NA,ND,0.028,ND,ND,ND,ND,ND,ND
"Ann Arbor, MI",NA,0.001,ND,ND,ND,0.002,ND,ND,0.001
"Ann Arbor, MI",NA,0.001,0.001,ND,ND,0.008,ND,0.002,0.008
"Ann Arbor, MI",NA,ND,0.001,ND,ND,ND,ND,ND,ND
"Ann Arbor, MI",NA,ND,0.002,ND,ND,0.002,ND,ND,0.001
