Sample,Scheme,Taxa A1,Taxa A2,Taxa A3,Taxa A4,Taxa A5,Taxa B1,Taxa B2,Taxa B3
SA PT 1.5,Stable,ND,,ND,,ND,,,ND
SA-1 CT,Failure,0.0121,,ND,,0.0001,,,0.002
SA-2,Stable,0.0003,,ND,,ND,,,ND
SA-2 CT,Failure,0.0284,,ND,,ND,,,ND
SA-3,Stable,0.0002,,ND,,ND,,,ND
SA-4,Stable,ND,,ND,,ND,,,ND
SA-5 CT,Stable,ND,,ND,,ND,,,0.0001
WA-1A,Stable,ND,,ND,,ND,,,ND
WA-1B,Stable,0.0008,,ND,,ND,,,ND
WA-2,Stable,0.0002,,ND,,ND,,,ND
WA-3A,Stable,0.0001,,0.0001,,ND,,,ND
WA-3B,Stable,ND,,ND,,ND,,,0.0003
WA-4 CT,Failure,0.0063,,ND,,ND,,,0.0064
A12_09_19_1,Stable,0.0023,0.0005,ND,0.0013,0.0013,0.012,0.1005,0.2293
A12_10_01_1,Stable,0.001,0.0013,ND,0.0008,0.0028,0.0133,0.1293,0.383
A12_10_15_1,Stable,ND,0.0013,ND,0.0008,0.0045,0.0158,0.141,0.4383
A12_10_23_1,Stable,0.0003,0.0005,ND,0.0005,0.0063,0.023,0.1005,0.617
A12_11_15_1,Stable,ND,ND,0.0008,0.0038,0.0075,0.0283,0.1433,0.3705
B12_09_19_1,Stable,0.0003,0.0013,ND,0.0025,0.0065,0.012,0.1048,0.275
B12_10_01_1,Stable,0.0013,0.0013,ND,0.0005,0.0108,0.014,0.1013,0.4135
B12_10_15_1,Stable,ND,0.0023,ND,0.001,0.0043,0.0125,0.121,0.39
B12_10_23_1,Stable,0.0003,ND,ND,0.001,0.0038,0.0045,0.0503,0.7813
B12_11_08_1,Stable,ND,ND,0.0273,0.0133,ND,0.0018,ND,0.162
B12_11_15_1,Stable,0.0003,ND,0.0033,0.0078,0.0125,0.0298,0.0813,0.2498
S1_PBR_001,Failure,0.0278,0.0037,ND,0.0065,ND,ND,ND,0.0004
S1_PBR_002,Failure,0.0005,0.0015,ND,0.0006,ND,0.0003,ND,0.0005
S1_PBR_003,Failure,0.0846,0.0025,ND,0.0034,0.0033,0.0132,0.0013,0.0036
S1_PBR_004,Failure,0.0038,0.0828,ND,0.0009,0.001,0.0006,0.0008,0.1962
S1_PBR_005,Failure,0.0004,0.0098,ND,0.0148,ND,0.0006,0.0225,0.0214
S1_PBR_006,Failure,0.0235,0.2109,ND,0.0254,0.0207,0.003,0.0002,0.1409
S1_PBR_007,Failure,0.0123,0.0295,ND,0.0104,0.0025,0.0062,0.0018,0.0405
S1_PBR_008,Failure,0.0005,0.0967,ND,0.0001,0.0015,ND,ND,0.2239
S1_PBR_009,Failure,ND,0.0227,ND,0.0029,0.0215,ND,ND,0.0036
S1_PBR_010,Failure,0.0003,0.1814,ND,0.0039,0.0101,0.0002,0.0001,0.0595
S1_PBR_011,Failure,0.0001,0.0807,ND,0.0005,0.0003,0.0006,ND,0.0061
S1_PBR_012,Failure,0.0312,0.0038,ND,0.0094,0.0019,0.0035,0.0003,0.0015
S1_PBR_013,Failure,0.0022,0.2114,ND,0.0017,0.0061,0.001,0.0003,0.0808
S1_PBR_014,Failure,0.0035,0.1072,ND,0.0597,0.0334,0.0013,0.0003,0.0613
S1_PBR_015,Failure,0.3359,0.0079,ND,0.05,0.0024,0.004,0.0505,0.0031
S1_PBR_016,Failure,0.0067,0.0321,ND,0.0009,0.002,0.0007,0.001,0.0024
S1_PBR_017,Failure,0.0042,0.0342,ND,0.1165,0.0076,0.006,0.0012,0.0018
S1_PBR_018,Failure,0.0005,0.0364,ND,ND,ND,ND,0.0001,0.0089
S1_PBR_019,Failure,0.0042,0.2137,ND,0.0013,0.0105,0.0003,ND,0.0738
S1_PBR_020,Failure,0.0001,0.1213,ND,0.0002,0.006,0.0001,0.0002,0.0438
S1_PBR_021,Failure,0.0004,0.0633,ND,0.0012,0.0072,0.0005,0.0007,0.0039
S1_PBR_022,Failure,0.0025,0.049,ND,0.0083,0.0018,0.0004,0.0025,0.0214
