iter	Logloss
0	0.6855211735
1	0.6793424606
2	0.6725964546
3	0.6655208588
4	0.6595932484
5	0.6521365643
6	0.6451162338
7	0.6393522263
8	0.6318193436
9	0.6267465115
10	0.6174983025
11	0.6105019569
12	0.60195961
13	0.5965774536
14	0.5904006004
15	0.5846633434
16	0.5789769173
17	0.5710716248
18	0.566221571
19	0.5617438316
20	0.5568707943
21	0.551196003
22	0.5457395554
23	0.5409214973
24	0.5366641045
25	0.5318921566
26	0.5270877838
27	0.5217094898
28	0.5164640427
29	0.511665535
30	0.5076439381
31	0.5038022995
32	0.4983481407
33	0.4942180634
34	0.4897638798
35	0.4836073875
36	0.4790599823
37	0.4752336502
38	0.4702116489
39	0.4655488014
40	0.4621203423
41	0.4587607384
42	0.4549742222
43	0.4493776798
44	0.4446202755
45	0.4411346912
46	0.4378094196
47	0.4328705788
48	0.4290917873
49	0.4262606621
50	0.4215065956
51	0.4181315899
52	0.4146948814
53	0.4109542847
54	0.4078251362
55	0.4038659573
56	0.4006064892
57	0.3948959827
58	0.3910622358
59	0.3881940365
60	0.3845348835
61	0.3807730198
62	0.3777539492
63	0.3750270844
64	0.372211647
65	0.3690143585
66	0.3660619736
67	0.3611644745
68	0.3576452732
69	0.3552646875
70	0.3520648956
71	0.3501123905
72	0.3478149176
73	0.3455075502
74	0.3429667234
75	0.3403489828
76	0.3378129959
77	0.3354506969
78	0.3333912849
79	0.3308341026
80	0.3287592173
81	0.3267368078
82	0.3243471146
83	0.3210721731
84	0.3182604313
85	0.3161320686
86	0.3140379667
87	0.3117117167
88	0.3090155363
89	0.3067428589
90	0.3041941643
91	0.3023048878
92	0.3004804373
93	0.2986168146
94	0.2963363647
95	0.2947613001
96	0.2926435471
97	0.290847826
98	0.28887043
99	0.2866979122
