iter	Passed	Remaining
0	0	26
1	0	20
2	0	17
3	0	16
4	0	15
5	0	13
6	1	13
7	1	13
8	1	12
9	1	12
10	1	11
11	1	11
12	1	11
13	1	11
14	1	11
15	1	11
16	2	10
17	2	10
18	2	10
19	2	10
20	2	10
21	2	9
22	2	9
23	2	9
24	3	9
25	3	9
26	3	9
27	3	9
28	3	9
29	3	9
30	3	8
31	3	8
32	4	8
33	4	8
34	4	8
35	4	8
36	4	8
37	5	9
38	5	9
39	6	9
40	6	9
41	6	9
42	6	9
43	6	8
44	6	8
45	7	8
46	7	8
47	7	8
48	8	8
49	8	8
50	8	8
51	8	8
52	8	7
53	8	7
54	8	7
55	9	7
56	9	7
57	9	6
58	9	6
59	9	6
60	9	6
61	9	6
62	10	6
63	10	5
64	10	5
65	10	5
66	10	5
67	10	5
68	11	5
69	11	4
70	11	4
71	11	4
72	11	4
73	11	4
74	11	4
75	12	3
76	12	3
77	12	3
78	12	3
79	12	3
80	12	3
81	12	2
82	13	2
83	13	2
84	13	2
85	13	2
86	13	2
87	13	1
88	13	1
89	13	1
90	14	1
91	14	1
92	14	1
93	14	0
94	14	0
95	14	0
96	14	0
97	14	0
98	15	0
99	15	0
